frame;people_count;looking_face_count;IDs_people;IDs_looking;bb_people;bb_looking 
132;2;2;[2, 3];[2, 3];[100, 215, 233, 475],[45, 51, 202, 470];[160, 247, 52, 52],[117, 83, 52, 52]
133;2;2;[2, 3];[2, 3];[110, 215, 241, 475],[47, 54, 201, 473];[165, 253, 51, 52],[119, 86, 52, 52]
134;2;2;[2, 3];[2, 3];[117, 214, 246, 476],[51, 54, 196, 474];[172, 258, 51, 51],[123, 86, 52, 52]
135;2;2;[2, 3];[2, 3];[120, 213, 255, 476],[52, 55, 193, 474];[175, 262, 51, 52],[118, 81, 52, 52]
136;2;2;[2, 3];[2, 3];[125, 213, 259, 475],[53, 57, 193, 473];[180, 262, 51, 52],[119, 83, 52, 52]
137;2;2;[2, 3];[2, 3];[130, 211, 258, 474],[54, 56, 193, 472];[190, 260, 52, 52],[120, 82, 52, 52]
138;2;2;[2, 3];[2, 3];[128, 211, 263, 473],[52, 54, 192, 473];[194, 260, 52, 52],[124, 86, 52, 52]
139;2;2;[2, 3];[2, 3];[129, 213, 264, 473],[52, 55, 191, 472];[201, 262, 52, 52],[118, 80, 62, 62]
140;2;2;[2, 3];[2, 3];[128, 213, 267, 473],[52, 57, 191, 471];[206, 262, 51, 52],[118, 82, 62, 62]
141;2;1;[2, 3];[3];[127, 212, 269, 473],[49, 59, 194, 470];[127, 85, 51, 52]
142;2;1;[2, 3];[3];[128, 212, 268, 472],[49, 59, 194, 471];[127, 85, 51, 52]
143;2;2;[2, 3];[2, 3];[127, 214, 272, 474],[47, 58, 196, 472];[222, 269, 52, 52],[120, 83, 62, 62]
144;2;2;[2, 3];[2, 3];[135, 215, 290, 474],[47, 58, 197, 474];[224, 270, 52, 52],[120, 83, 62, 62]
145;2;2;[2, 3];[2, 3];[143, 217, 294, 476],[47, 58, 197, 476];[232, 272, 52, 52],[130, 84, 52, 52]
146;2;1;[2, 3];[3];[155, 220, 294, 476],[47, 58, 197, 475];[130, 84, 52, 52]
147;2;2;[2, 3];[2, 3];[157, 221, 297, 477],[48, 58, 197, 474];[240, 276, 52, 52],[131, 84, 52, 52]
148;2;1;[2, 3];[3];[168, 219, 300, 476],[41, 58, 202, 475];[130, 84, 52, 52]
149;2;1;[2, 3];[3];[170, 218, 311, 476],[40, 58, 202, 475];[127, 83, 62, 62]
